title,year,director,running_time,views,likes,avg_rating,half_star,one_star,one_half_star,two_star,two_half_star,three_star,three_half_star,four_star,four_half_star,five_star
Inglourious Basterds,2009,Quentin Tarantino,153,584639,218416,4.3,424,1085,668,4025,3847,24156,29023,101558,65594,113894
Paths of Glory,1957,Stanley Kubrick,88,74359,23556,4.3,15,47,48,201,322,1878,3824,13053,12624,14826
Fury,2014,David Ayer,135,145217,29977,3.6,216,577,731,3230,5035,17210,20721,24578,6229,5697
Gone with the Wind,1939,"Victor Fleming,George Cukor,Sam Wood",233,90154,17558,3.9,265,536,375,1557,1531,5418,5491,11234,5659,9973
The Thin Red Line,1998,Terrence Malick,171,78597,18011,4.0,112,308,222,1183,1260,4699,5793,12125,7407,9363
The King,2019,David Michôd,140,75374,15684,3.3,179,598,773,3796,5897,15711,14143,11946,2310,2224
300,2006,Zack Snyder,117,221525,31935,3.3,1247,2632,2338,7953,8904,25024,20689,22282,4961,5644
Come and See,1985,Elem Klimov,142,38452,14610,4.5,28,61,61,170,222,713,1275,4521,5799,14080
Braveheart,1995,Mel Gibson,178,173695,31594,3.8,332,828,640,2852,3281,11971,13312,23317,9780,12809
The Hurt Locker,2008,Kathryn Bigelow,131,143475,24682,3.7,224,545,509,2333,2869,11514,16095,25680,8563,5212
American Sniper,2014,Clint Eastwood,133,176127,24573,3.2,2260,3315,2911,8777,9554,22793,19080,19345,4332,4835
Lawrence of Arabia,1962,David Lean,227,86492,23745,4.3,67,200,112,657,732,3211,4185,11785,9129,17467
The Wind Rises,2013,Hayao Miyazaki,126,76250,20410,3.9,67,147,174,850,1231,5288,7696,14250,6979,7348
The Monuments Men,2014,George Clooney,118,50201,3913,2.7,363,1170,1632,5045,5178,7021,2995,1831,286,396
Tropic Thunder,2008,Ben Stiller,107,196049,36121,3.4,817,1870,1529,5699,6662,21153,22807,25717,6390,5591
Barry Lyndon,1975,Stanley Kubrick,185,77681,23759,4.3,72,159,134,674,771,3045,4528,11426,9713,17016
Kingdom of Heaven,2005,Ridley Scott,144,55692,7269,3.3,179,477,552,2196,2793,6297,5641,5748,1914,1495
M*A*S*H,1970,Robert Altman,116,32822,5539,3.6,92,255,235,844,1026,2872,3246,4520,1570,1519
Unbroken,2014,Angelina Jolie,137,46054,6374,3.2,89,387,584,2235,3309,6967,5554,4649,1159,1454
300: Rise of an Empire,2014,Noam Murro,102,60775,4276,2.5,1025,2472,2892,6521,5754,7494,3267,1861,330,439
Duck Soup,1933,Leo McCarey,69,32672,7761,4.0,43,129,129,484,602,1907,2398,4854,2374,3917
The English Patient,1996,Anthony Minghella,162,41025,5476,3.4,145,354,358,1293,1372,3910,3929,4536,1507,1714
Army of Shadows,1969,Jean-Pierre Melville,145,16857,5102,4.3,7,21,12,94,151,597,1066,3040,2606,3249
Lone Survivor,2013,Peter Berg,121,51167,7648,3.3,152,435,570,1835,2954,7535,7549,6566,1566,1260
Empire of the Sun,1987,Steven Spielberg,153,39666,7272,3.7,44,87,95,571,904,3414,4579,6724,1966,1921
Master and Commander: The Far Side of the World,2003,Peter Weir,138,54168,9685,3.7,68,227,205,1120,1277,4557,5800,8083,3155,2709
A Man Escaped,1956,Robert Bresson,101,21769,6534,4.3,11,16,23,100,157,670,1341,4074,3180,3767
Black Book,2006,Paul Verhoeven,145,12991,2153,3.7,15,51,39,210,317,1213,1829,2613,789,433
The Breadwinner,2017,Nora Twomey,94,25597,7562,3.9,18,28,50,185,361,1922,3648,6827,2833,2389
The Tin Drum,1979,Volker Schlöndorff,162,9496,1567,3.7,38,71,62,197,241,724,1082,1530,613,504
Hot Shots! Part Deux,1993,Jim Abrahams,86,27877,3253,3.1,68,307,333,1130,1542,3825,2497,2009,347,372
Rescue Dawn,2006,Werner Herzog,126,19832,2485,3.5,19,57,88,364,665,2626,3292,3008,568,282
How I Live Now,2013,Kevin Macdonald,101,14627,1936,3.0,76,201,308,1050,1306,2453,1598,1111,237,310
Lifeboat,1944,Alfred Hitchcock,96,13011,2477,3.7,7,29,21,123,227,1191,1952,2800,785,509
Che: Part One,2008,Steven Soderbergh,134,14246,2165,3.6,18,47,53,249,395,1451,1845,2346,639,477
Threads,1984,Mick Jackson,117,7259,1858,4.0,4,14,16,63,99,481,749,1744,908,837
Stalag 17,1953,Billy Wilder,120,11544,2736,3.9,8,18,21,108,163,691,1392,2635,1267,861
Lancelot of the Lake,1974,Robert Bresson,85,3803,776,3.7,6,24,25,90,123,341,392,528,313,328
Tora! Tora! Tora!,1970,"Richard Fleischer,Kinji Fukasaku,Toshio Masuda",144,7071,1095,3.5,8,32,40,139,229,867,912,1067,236,215
Cross of Iron,1977,Sam Peckinpah,132,5648,1117,3.7,8,19,24,102,156,598,786,1137,384,273
U-571,2000,Jonathan Mostow,116,13230,1213,3.0,42,122,160,727,970,2192,1227,768,98,96
The Wall,2017,Doug Liman,90,7010,903,3.0,38,95,121,526,833,1884,1072,442,67,51
Johnny Got His Gun,1971,Dalton Trumbo,111,5092,1027,3.8,9,14,28,79,114,430,648,937,403,351
Suite Française,2014,Saul Dibb,103,8583,1383,3.3,17,77,88,393,588,1447,1086,911,171,339
